basin_id,L_km,Lca_km,A_km2,tL_hr,tr_hr,tp_hr,Qp_1mm_m3s,qp_m3s_km2,W50_hr,W75_hr,tb_hr,Qp_2yr_m3s,Qp_5yr_m3s,Qp_10yr_m3s,Qp_25yr_m3s,Qp_50yr_m3s,Qp_100yr_m3s
SB1,23.137,13.882,116.986,10.17,1.849,11.094,18.9807,0.16225,15.255,8.697,55.471,1752.75,2369.9,2789.02,3326.16,3728.4,4131.96
SB2,16.454,9.872,45.192,8.289,1.507,9.042,8.9964,0.19907,12.232,6.973,45.21,813.45,1103.77,1301.24,1554.57,1744.41,1934.97
SB3,29.561,17.736,149.969,11.78,2.142,12.851,21.0059,0.14007,17.88,10.193,64.255,1919.25,2599.67,3062.12,3655.09,4099.29,4545.08
