basin_id,CN_mean,CN_std,S_mm,Ia_mm,Area_km2,P_2yr_mm,Q_2yr_mm,C_2yr,Vol_2yr_Mm3,P_5yr_mm,Q_5yr_mm,C_5yr,Vol_5yr_Mm3,P_10yr_mm,Q_10yr_mm,C_10yr,Vol_10yr_Mm3,P_25yr_mm,Q_25yr_mm,C_25yr,Vol_25yr_Mm3,P_50yr_mm,Q_50yr_mm,C_50yr,Vol_50yr_Mm3,P_100yr_mm,Q_100yr_mm,C_100yr,Vol_100yr_Mm3
SB1,76.57,5.07,77.72,15.54,116.986,158.2,92.35,0.584,10.8034,194.6,124.86,0.642,14.6072,218.7,146.94,0.672,17.1904,249.1,175.24,0.704,20.5011,271.6,196.44,0.723,22.9803,294.0,217.7,0.74,25.4676
SB2,75.82,4.39,81.01,16.2,45.192,158.2,90.42,0.572,4.0862,194.6,122.69,0.63,5.5446,218.7,144.64,0.661,6.5365,249.1,172.8,0.694,7.809,271.6,193.9,0.714,8.7627,294.0,215.08,0.732,9.72
SB3,76.19,3.84,79.38,15.88,149.969,158.2,91.37,0.578,13.7023,194.6,123.76,0.636,18.5601,218.7,145.77,0.667,21.8618,249.1,174.0,0.699,26.0952,271.6,195.15,0.719,29.2666,294.0,216.37,0.736,32.4492
