basin_id,Q_bankfull_m3s,W_bankfull_m,D_bankfull_m,V_bankfull_ms,WD_ratio,R_hydraulic_m,Channel_Slope_S,Manning_n,Q_Manning_m3s,Shear_Stress_Pa,Critical_Shear_Pa,Excess_Shear_Pa,Stream_Power_total_Wm,Stream_Power_spec_Wm2,Excess_Sp_Power_Wm2,Transport_Capacity_rel,Channel_Stability
SB1,412.149,64.96,3.11,2.045,20.87,2.273,0.037515,0.038,1425.439,836.372,11.411,824.961,151680.52,2334.818,2299.818,4317.682,Highly Unstable
SB2,188.914,43.98,2.28,1.892,19.3,1.652,0.046798,0.038,637.757,758.281,11.411,746.87,86727.52,1971.856,1936.856,3062.377,Highly Unstable
SB3,432.353,66.54,3.17,2.055,20.97,2.317,0.028552,0.038,1315.313,649.108,11.411,637.696,121097.83,1819.983,1784.983,2600.95,Highly Unstable
