basin_id,L_km,H_m,Slope_pct,Tc_Kirpich_min,Tc_SCS_min,Tc_Avg_min,Tc_hr,Qp_2yr_m3s,C_2yr,Qp_5yr_m3s,C_5yr,Qp_10yr_m3s,C_10yr,Qp_25yr_m3s,C_25yr,Qp_50yr_m3s,C_50yr,Qp_100yr_m3s,C_100yr
SB1,23.137,868.0,24.66,158.3,226.7,192.5,3.208,478.237,0.584,646.624,0.642,760.981,0.672,907.541,0.703,1017.29,0.723,1127.402,0.74
SB2,16.454,770.0,24.79,111.8,175.9,143.9,2.398,219.643,0.572,298.035,0.63,351.354,0.661,419.756,0.694,471.016,0.714,522.471,0.732
SB3,29.561,844.0,21.49,212.4,298.7,255.5,4.259,502.21,0.578,680.256,0.636,801.265,0.667,956.427,0.699,1072.662,0.719,1189.311,0.736
