basin_id,Area_km2,Perimeter_km,Basin_Length_km,Drainage_Density_Dd,Relief_Ratio_Rh,Slope_Mean_deg,Smf,AF_proxy,AF,T_proxy,T,Vf_proxy,Vf,Class_Smf,Class_AF,Class_T,Class_Vf,IAT,IAT_class
SB1,116.9859,69.5188,23.1373,3.2653,0.037515,13.852,3.004620245231725,0.037515,0.037515,3.2653,3.2653,13.852,13.852,3,3,1,2,2.25,Class 2 Ã¢â‚¬â€ High
SB2,45.1921,42.7535,16.4538,3.053,0.046798,13.925,2.598396722945459,0.046798,0.046798,3.053,3.053,13.925,13.925,2,3,1,2,2.0,Class 2 Ã¢â‚¬â€ High
SB3,149.9694,78.0458,29.5606,2.982,0.028552,12.13,2.6401967483745254,0.028552,0.028552,2.982,2.982,12.13,12.13,2,3,2,2,2.25,Class 2 Ã¢â‚¬â€ High
