basin_id,Area_km2,Perimeter_km,Basin_Length_km,Total_Stream_Length_km,Stream_Count,Drainage_Density_Dd,Stream_Frequency_Fs,Texture_Ratio_T,Form_Factor_Ff,Elongation_Ratio_Re,Circularity_Ratio_Rc,Compactness_Cc,LengthOverlandFlow_Lg,ChannelMaintenance_C,Elev_Min_m,Elev_Max_m,Elev_Mean_m,Basin_Relief_H_m,Relief_Ratio_Rh,Relative_Relief,Ruggedness_Rn,Melton_MRN,Hypsometric_HI,Slope_Mean_deg,Slope_Std_deg,Slope_Skewness,TRI_Mean,total_streams_N,total_length_m,max_order,Rbm,wRbm,Nu_order1,Lu_order1_km,Nu_order2,Lu_order2_km,Nu_order3,Lu_order3_km,Nu_order4,Lu_order4_km,Nu_order5,Lu_order5_km,Nu_order6,Lu_order6_km,Shape_Class,Circ_Class,Hyps_Class,Cluster
SB1,116.9859,69.5188,23.1373,381.9952,695,3.2653,5.9409,7.7965,0.2185,0.5275,0.3042,1.8131,0.1531,0.3062,669.0,1537.0,861.35,868.0,0.037515,0.0125,2.8343,80.2515,0.2216,13.852,12.994,1.4301,21.634,695,381995.18490204425,6,4.0815,4.5865,542.0,205.5767,124.0,90.0999,22.0,46.391,5.0,29.3656,1.0,7.7021,1.0,2.8599,Elongated,Elongated/Old,Peneplain (Old/Concave),1
SB2,45.1921,42.7535,16.4538,137.9731,267,3.053,5.9081,4.7248,0.1669,0.461,0.3107,1.7941,0.1638,0.3275,671.0,1441.0,876.62,770.0,0.046798,0.018,2.3508,114.5406,0.267,13.925,10.982,1.4394,20.591,267,137973.13993145816,6,3.2429,4.1428,202.0,68.7652,47.0,31.2911,12.0,18.2275,4.0,11.3449,1.0,8.3001,1.0,0.0444,More Elongated,Elongated/Old,Peneplain (Old/Concave),0
SB3,149.9694,78.0458,29.5606,447.2119,813,2.982,5.4211,8.2388,0.1716,0.4675,0.3094,1.7978,0.1677,0.3353,584.0,1428.0,793.78,844.0,0.028552,0.0108,2.5168,68.9193,0.2486,12.13,9.079,1.8321,17.663,813,447211.8870247233,6,3.8714,4.8327,643.0,234.9824,128.0,96.697,32.0,53.3695,6.0,24.4945,3.0,12.1642,1.0,25.5042,More Elongated,Elongated/Old,Peneplain (Old/Concave),1
