basin_id,max_order,Rbm,Nu_order1,Nu_order2,Nu_order3,Nu_order4,Nu_order5,Nu_order6
SB1,6,3.2804,192,57,10,3,1,1
SB2,6,4.1137,67,17,5,1,0,1
SB3,6,3.935,226,61,10,5,0,1
