basin_id,CN_mean,Q_10yr_mm,Q_25yr_mm,Q_100yr_mm,Vol_25yr_Mm3,Tc_Avg_min,Tc_hr,Qp_10yr_m3s,Qp_25yr_m3s,Qp_100yr_m3s,A_mean_t_ha_yr,SDR,Sed_Yield_t_yr,Loss_Class_Mode,WHP_25yr_Mm3,Potential_CheckDams_N,SWC_Priority,tp_hr,Qp_1mm_m3s,W50_hr,W75_hr,tb_hr,Q_bankfull_m3s,W_bankfull_m,D_bankfull_m,Shear_Stress_Pa,Stream_Power_spec_Wm2,Channel_Stability
SB1,76.57,146.94,175.24,217.7,20.5011,192.5,3.208,760.981,907.541,1127.402,125.19,0.232,339175.0,Severe (>60),8.2002,1037,High,11.094,18.9807,15.255,8.697,55.471,412.149,64.96,3.11,836.372,2334.818,Highly Unstable
SB2,75.82,144.64,172.8,215.08,7.809,143.9,2.398,351.354,419.756,522.471,136.85,0.261,161312.0,Severe (>60),3.1237,1037,High,9.042,8.9964,12.232,6.973,45.21,188.914,43.98,2.28,758.281,1971.856,Highly Unstable
SB3,76.19,145.77,174.0,216.37,26.0952,255.5,4.259,801.265,956.427,1189.311,130.13,0.225,438170.0,Severe (>60),10.4379,1037,High,12.851,21.0059,17.88,10.193,64.255,432.353,66.54,3.17,649.108,1819.983,Highly Unstable
