basin_id,CF_M1,Rank_M1,Priority_M1,Score_M2,Rank_M2,Priority_M2,Score_M3,Rank_M3,Priority_M3
SB1,1.2,1,High,0.6084467417848296,1,High,2.153334048866568,1,High
SB2,1.6,2,Moderate,0.33601742742219626,2,Moderate,-0.5111298453808557,2,Moderate
SB3,2.3,3,Low,0.022387377668490086,3,Low,-1.6422042034857114,3,Low
